3 graspChance=0.1 graspChance=0.05 graspChance=0.01
fl1577 26927.0 25503.333333333332 25349.333333333332
d1655 75421.33333333333 71861.33333333333 71082.66666666667
vm1748 414576.3333333333 399018.6666666667 398772.0
u1817 69486.0 65404.333333333336 64303.0
rl1889 395609.0 372959.0 369471.6666666667
d2103 96829.33333333333 88459.0 86083.66666666667
u2152 78100.66666666667 73316.33333333333 71325.33333333333
u2319 277932.6666666667 273132.0 272545.3333333333
pr2392 468822.3333333333 449932.3333333333 446265.6666666667
