3 graspChance=0.1 graspChance=0.05 graspChance=0.01
dsj1000 151494.98808433334 154613.50059166667 156421.21915833332
pr1002 144206.15577433334 147091.38426366667 148614.699784
u1060 128946.44806933333 129713.98698400002 132590.87355699998
vm1084 119867.720012 123698.17112633334 123721.39717566666
pcb1173 105431.22877500001 107858.98200766665 110450.88602633333
d1291 94233.96482033333 96048.69683266668 97262.20976
rl1304 88513.35322199999 89764.21306233334 90738.72394033334
rl1323 89370.68783966666 91076.89119566667 91828.34843933333
nrw1379 79335.034214 81380.64297966666 81695.26004466666
fl1400 78924.791716 80242.668196 80919.30545233334
u1432 76710.415048 77715.15809 78052.35971066667
