3 graspChance=0.1 graspChance=0.05 graspChance=0.01
ts225 1432378.5336983334 1428540.700446 1427157.632748333
tsp225 1386809.675449 1317958.2903813336 1345826.7964006665
pr226 1530755.4690956667 1502063.653058 1542734.164318
gil262 1243071.417149 1183265.8612793332 1123040.8465583334
pr264 1328644.7291016667 1313851.9700183335 1287377.245133
a280 1192090.8822576667 1171012.027305 1139393.8227953333
pr299 909696.379323 904262.0871793333 867891.7254280001
lin318 896305.5083170001 904335.0935006667 860956.6112633334
