3 graspChance=0.1 graspChance=0.05 graspChance=0.01
fl1577 107558.66666666667 55982.333333333336 27026.0
d1655 209389.33333333334 120590.0 75404.33333333333
vm1748 1315565.0 744150.3333333334 425822.6666666667
u1817 204589.33333333334 119187.0 69262.33333333333
rl1889 1335050.3333333333 759537.0 399556.3333333333
d2103 311925.3333333333 181923.33333333334 94326.66666666667
u2152 241380.0 143644.0 78263.66666666667
u2319 656968.6666666666 440020.6666666667 289699.6666666667
pr2392 1484272.6666666667 894541.0 489279.0
