3 graspChance=0.1 graspChance=0.05 graspChance=0.01
rat99 4552220.733204 4476710.384063667 4530123.268989666
kroC100 4864629.905186334 4822873.426746667 4871906.169278
kroA100 4861090.794456667 4775151.699149667 4840659.322480667
kroE100 4874537.458066667 4765339.169377 4785868.750528
kroB100 4868836.760582333 4766660.383361 4832839.340954333
kroD100 4857123.975515333 4808521.782250666 4861947.047302666
rd100 4813474.490986667 4807321.634143666 4827221.144220999
eil101 4519933.324482666 4564574.044736001 4527704.546716
lin105 4090812.607704 4073025.2962533333 4211771.534677667
pr107 4190535.154161 4080785.637374667 4492164.760323
pr124 3549728.0566399996 3490629.7547009997 3546844.6313933334
bier127 3474571.176282 3413854.9052743334 3429546.2644573334
ch130 3022710.4934579995 3063410.7188743334 3009284.122738
pr136 2970837.799635 2945317.421051333 2890475.646161
pr144 2826765.0128153334 2819622.156362334 2875100.206851667
kroB150 2637002.420401 2477160.248911667 2480303.048351667
kroA150 2585044.051876 2531982.0094606667 2444132.8281466663
ch150 2533431.8666933333 2512461.610208 2484223.070409
pr152 2681127.772932 2650630.315812334 2712625.8126693335
u159 2243343.8069189996 2194180.7986876667 2134271.706522
rat195 1646001.561883 1663861.9938629998 1635878.286918
d198 1762985.576633 1760449.0892056667 1758622.635794
kroA200 1941603.8825426667 1900402.8911313333 1849103.2087586664
kroB200 1932881.0562929998 1858907.7866503336 1890796.7318396668
