3 graspChance=0.1 graspChance=0.05 graspChance=0.01
rat99 1223.6666666666667 1206.3333333333333 1205.0
kroC100 22491.0 22235.666666666668 22082.333333333332
kroA100 24293.333333333332 23362.333333333332 23452.0
kroE100 24381.333333333332 24101.333333333332 24089.333333333332
kroB100 23712.333333333332 23303.0 23174.666666666668
kroD100 23327.333333333332 23077.666666666668 23131.333333333332
rd100 9043.666666666666 8834.0 8859.666666666666
eil101 710.0 696.6666666666666 694.3333333333334
lin105 16030.333333333334 15535.0 15479.0
pr107 46510.0 46166.333333333336 46092.0
pr124 65180.0 61719.0 61461.0
bier127 127503.0 123497.0 123008.0
ch130 6931.666666666667 6704.666666666667 6684.333333333333
pr136 113996.33333333333 112289.33333333333 111731.0
pr144 61644.0 59774.0 59239.0
kroB150 31023.0 29628.333333333332 29318.666666666668
kroA150 31835.333333333332 30423.0 30181.0
ch150 7356.0 7006.0 6940.333333333333
pr152 81803.66666666667 78666.66666666667 77682.66666666667
u159 51467.666666666664 47626.333333333336 46671.666666666664
rat195 2800.3333333333335 2551.6666666666665 2495.6666666666665
d198 18718.333333333332 17408.0 17008.0
kroA200 37662.333333333336 34388.0 32827.666666666664
kroB200 38127.0 34713.333333333336 34185.666666666664
