3 graspChance=0.1 graspChance=0.05 graspChance=0.01
fl1577 70887.73541533334 68673.15821066668 66627.56597400001
d1655 65024.533587666665 63029.58033233334 60962.918566
vm1748 59480.447878666666 56262.210113999994 54514.57065266667
u1817 55336.80386033333 52855.646895666665 51034.055535
rl1889 51440.04906466667 49117.013236 47485.35318533333
d2103 42250.30284066666 40657.521552666665 39200.649072
u2152 40852.74678833334 38842.680649333335 37581.67423133333
u2319 36026.90094133333 34236.546002333336 33466.514492333336
pr2392 33181.274697333334 31508.750078 30258.424102999998
