3 graspChance=0.1 graspChance=0.05 graspChance=0.01
rat99 1154.0 1158.3333333333333 1202.3333333333333
kroC100 21733.666666666668 21829.666666666668 22053.333333333332
kroA100 22555.666666666668 22563.333333333332 23206.333333333332
kroE100 23347.333333333332 23418.0 24103.0
kroB100 23037.0 23041.0 23375.0
kroD100 22857.666666666668 22913.0 23086.333333333332
rd100 8510.666666666666 8646.0 8905.0
eil101 676.0 676.0 684.3333333333334
lin105 15196.0 15303.666666666666 15633.333333333334
pr107 45839.666666666664 45817.333333333336 46071.666666666664
pr124 60979.333333333336 60621.666666666664 61319.666666666664
bier127 120894.33333333333 120855.66666666667 123338.66666666667
ch130 6470.666666666667 6494.333333333333 6627.666666666667
pr136 108380.33333333333 109952.66666666667 111270.66666666667
pr144 59235.0 59213.666666666664 59371.333333333336
kroB150 28719.333333333332 28656.666666666668 29147.0
kroA150 29077.0 29258.666666666668 30111.666666666668
ch150 6856.0 6829.666666666667 6883.666666666667
pr152 77576.66666666667 77149.33333333333 78151.0
u159 46078.0 45910.333333333336 46988.333333333336
rat195 2473.3333333333335 2459.6666666666665 2496.3333333333335
d198 17115.0 17058.0 17180.666666666668
kroA200 31990.0 32036.666666666668 32834.666666666664
kroB200 33287.0 33297.0 33788.0
