3 graspChance=0.1 graspChance=0.05 graspChance=0.01
fl1577 63718.666359 63925.260672 65694.378983
d1655 58164.96537433334 59334.21748466667 59251.36873333333
vm1748 52726.38670133334 53855.52074333333 53908.420773666665
u1817 49484.94853866667 49707.77695333333 51071.74762266667
rl1889 46013.79664533333 46680.78062899999 47012.83972333334
d2103 37977.693997333336 38730.86381933334 38736.46684366667
u2152 36599.50606033333 37209.011800333334 37253.69101366666
u2319 32218.356677000003 32617.879545666667 32937.85677433333
pr2392 29582.129112 29899.400221666667 30132.077194666665
