3 graspChance=0.1 graspChance=0.05 graspChance=0.01
fl1577 198761.66666666666 95603.66666666667 30300.0
d1655 323344.0 165642.66666666666 77558.0
vm1748 2173330.6666666665 1041538.0 425016.3333333333
u1817 323013.0 168800.33333333334 73500.33333333333
rl1889 2228680.3333333335 1048702.3333333333 423976.3333333333
d2103 502092.6666666667 260515.0 104541.66666666667
u2152 383683.0 202134.0 85389.0
u2319 963252.3333333334 519907.6666666667 268593.0
pr2392 2413743.0 1214921.0 493437.6666666667
