3 graspChance=0.1 graspChance=0.05 graspChance=0.01
rat99 1130.3333333333333 1126.0 1137.0
kroC100 21611.333333333332 21697.333333333332 22116.333333333332
kroA100 21822.0 21993.0 22415.666666666668
kroE100 22509.333333333332 22648.333333333332 22703.333333333332
kroB100 22695.666666666668 23016.0 23334.666666666668
kroD100 22120.666666666668 22103.333333333332 22247.0
rd100 8119.333333333333 8194.666666666666 8301.666666666666
eil101 659.0 660.0 664.6666666666666
lin105 15018.333333333334 15052.0 15285.333333333334
pr107 44952.666666666664 45110.0 45494.333333333336
pr124 59520.0 59745.666666666664 59786.666666666664
bier127 120421.66666666667 121337.0 122917.0
ch130 6465.333333333333 6456.333333333333 6580.0
pr136 101285.33333333333 101703.33333333333 102167.33333333333
pr144 59729.333333333336 60051.333333333336 61109.333333333336
kroB150 27477.666666666668 27539.666666666668 27789.666666666668
kroA150 27588.666666666668 27925.333333333332 28252.0
ch150 7065.333333333333 7099.333333333333 7190.666666666667
pr152 77123.0 77729.0 78197.66666666667
u159 44720.666666666664 44975.666666666664 45588.666666666664
rat195 2495.6666666666665 2481.6666666666665 2459.6666666666665
d198 16548.333333333332 16649.666666666668 16668.0
kroA200 32033.0 32235.666666666668 32285.333333333332
kroB200 32185.333333333332 32506.333333333332 32774.0
