3 graspChance=0.1 graspChance=0.05 graspChance=0.01
fl1577 25695.666666666668 25565.333333333332 25396.0
d1655 71491.0 71465.66666666667 71394.33333333333
vm1748 390063.0 391756.3333333333 391605.6666666667
u1817 66927.33333333333 66573.33333333333 65983.33333333333
rl1889 375658.0 373617.3333333333 377068.3333333333
d2103 87791.66666666667 87633.66666666667 86697.66666666667
u2152 75036.0 74568.0 73913.33333333333
u2319 250456.0 250783.33333333334 249743.33333333334
pr2392 451463.6666666667 450901.0 452655.0
