3 graspChance=0.1 graspChance=0.05 graspChance=0.01
rat99 1181.6666666666667 1143.0 1139.0
kroC100 22868.333333333332 22041.0 21999.333333333332
kroA100 23374.0 22523.0 22161.666666666668
kroE100 23669.333333333332 22783.333333333332 22623.666666666668
kroB100 23954.0 23755.333333333332 23551.666666666668
kroD100 23184.0 22437.0 22307.333333333332
rd100 8565.666666666666 8378.0 8277.0
eil101 679.0 669.6666666666666 664.3333333333334
lin105 16219.333333333334 15535.333333333334 15290.0
pr107 46641.666666666664 45810.0 45533.666666666664
pr124 64815.666666666664 60608.333333333336 59800.666666666664
bier127 129056.0 123956.66666666667 122501.66666666667
ch130 6866.333333333333 6510.0 6495.333333333333
pr136 108995.0 103192.33333333333 101178.33333333333
pr144 74693.0 62541.333333333336 61389.333333333336
kroB150 30820.666666666668 28162.0 27656.666666666668
kroA150 30757.0 28840.0 28207.333333333332
ch150 7779.333333333333 7313.333333333333 7214.333333333333
pr152 88933.0 81848.33333333333 79400.0
u159 52054.666666666664 47363.0 46196.333333333336
rat195 2913.3333333333335 2597.6666666666665 2499.6666666666665
d198 19278.333333333332 17095.333333333332 16747.666666666668
kroA200 40538.0 33785.333333333336 32223.0
kroB200 39136.333333333336 34355.0 32900.0
