t,100,500,1000,5000,10000
1,1,1,1,1,1
2,1.962,1.97,1.958,1.96,1.961
3,2.849,2.907,2.882,2.884,2.885
4,3.767,3.873,3.841,3.845,3.846
5,4.804,4.841,4.798,4.806,4.808
6,5.741,5.81,5.771,5.767,5.769
7,6.664,6.778,6.732,6.728,6.73
8,7.609,7.736,7.68,7.691,7.693
9,8.136,7.826,8.092,8.055,8.055
10,8.796,8.338,8.505,8.424,8.426
11,9.212,8.887,8.917,8.79,8.792
12,9.828,9.426,9.321,9.16,9.159
13,10.513,9.879,9.727,9.476,9.468
14,11.118,10.412,10.107,9.777,9.774
15,11.818,10.478,10.549,10.097,10.082
16,12.53,11.426,10.969,10.393,10.389
17,13.328,11.77,11.378,10.701,10.697
18,13.794,12.098,11.738,11.011,11.004
19,14.613,12.675,12.167,11.321,11.311
20,15.236,12.749,12.488,11.63,11.618
